Id,Pred
2022_1124_1246,0.5800943802129298
2022_1124_1345,0.5619371099848149
2022_1124_1417,0.5276175717374469
2022_1124_1388,0.7324158301326105
2022_1124_1400,0.7491814135749945
2022_1124_1293,0.8892406320792176
2022_1124_1314,0.7982653735243923
2022_1124_1266,0.8267527529955943
2022_1124_1362,0.7365357365305452
2022_1124_1439,0.7965276779331211
2022_1124_1231,0.7208774873942967
2022_1124_1461,0.8758400225866299
2022_1124_1463,0.9756964019324944
2022_1124_1389,0.9576360625538591
2022_1124_1313,0.9868193496160564
2022_1124_1242,0.46991632845259174
2022_1124_1458,0.7997187214281082
2022_1124_1344,0.7365357365305452
2022_1124_1234,0.51208082143114
2022_1124_1261,0.669488406754851
2022_1124_1425,0.823129991461068
2022_1124_1361,0.7508780195195449
2022_1124_1166,0.8018251586194493
2022_1124_1274,0.8431187096644979
2022_1124_1235,0.8030809931735434
2022_1124_1350,0.8822954337894823
2022_1124_1355,0.9131217398274569
2022_1124_1159,0.9592658526488211
2022_1124_1240,0.9563316714655941
2022_1124_1411,0.9881867204315764
2022_1124_1394,0.9915683912637242
2022_1124_1437,0.6127685549038272
2022_1124_1397,0.40280411732950017
2022_1124_1228,0.6862501547611367
2022_1124_1222,0.4043932141015283
2022_1124_1161,0.7594219835610299
2022_1124_1326,0.793330613623052
2022_1124_1371,0.8263741891937656
2022_1124_1395,0.8125095311785208
2022_1124_1260,0.784950562949017
2022_1124_1276,0.8181052740400498
2022_1124_1412,0.8200333308279135
2022_1124_1151,0.9337319400403596
2022_1124_1255,0.9743461240497641
2022_1124_1174,0.9719317547293577
2022_1124_1460,0.9790755168218067
2022_1124_1136,0.983811292866263
2022_1124_1211,0.31332471745693957
2022_1124_1181,0.6209276109743658
2022_1124_1403,0.5713393848137308
2022_1124_1163,0.6460581458003031
2022_1124_1277,0.7935153564188673
2022_1124_1129,0.742638689853708
2022_1124_1272,0.7486848729659932
2022_1124_1172,0.8206171609870194
2022_1124_1353,0.8795252350126722
2022_1124_1323,0.8590052751816576
2022_1124_1308,0.8811940389945868
2022_1124_1436,0.913331000907298
2022_1124_1286,0.9703026686082683
2022_1124_1168,0.9648023161324631
2022_1124_1209,0.9703406917010757
2022_1246_1345,0.4974110253819761
2022_1246_1417,0.46286833573923675
2022_1246_1388,0.6786404371528841
2022_1246_1400,0.69738321590643
2022_1246_1293,0.861000462818179
2022_1246_1314,0.7532654340866505
2022_1246_1266,0.7864070592738119
2022_1246_1362,0.6832302121818534
2022_1246_1439,0.7512609013098624
2022_1246_1461,0.8447795224333708
2022_1246_1463,0.9687244517054078
2022_1246_1389,0.9457711154571429
2022_1246_1313,0.9829825766409922
2022_1246_1458,0.7549434508480283
2022_1246_1344,0.6832302121818534
2022_1246_1261,0.6098040592288051
2022_1246_1425,0.7821629251381046
2022_1246_1361,0.6992895628174026
2022_1246_1274,0.8056885412205487
2022_1246_1350,0.8525780283629077
2022_1246_1355,0.8902187955509077
2022_1246_1411,0.9847418229110526
2022_1246_1394,0.989098751888311
2022_1246_1437,0.5497303583685932
2022_1246_1397,0.342273687195628
2022_1246_1326,0.7475779805502418
2022_1246_1371,0.7859631593371111
2022_1246_1395,0.7697705720508642
2022_1246_1260,0.7379555315296981
2022_1246_1276,0.7762906767044254
2022_1246_1412,0.7785419816722944
2022_1246_1255,0.9669999219622462
2022_1246_1460,0.9730461511912396
2022_1246_1403,0.5069831601829675
2022_1246_1277,0.7477906197239118
2022_1246_1272,0.6968256282833669
2022_1246_1353,0.8492279434988844
2022_1246_1323,0.8245768282249888
2022_1246_1308,0.8512454425879328
2022_1246_1436,0.8904766054882916
2022_1246_1286,0.9618439324889949
2022_1345_1417,0.4481864972491365
2022_1345_1388,0.6655954843011073
2022_1345_1400,0.6847456563092135
2022_1345_1362,0.670281051644823
2022_1345_1439,0.7400345921975497
2022_1345_1461,0.8368574027993625
2022_1345_1463,0.9668802071032854
2022_1345_1389,0.9426534919244511
2022_1345_1458,0.7438266716571182
2022_1345_1425,0.7719078656970911
2022_1345_1361,0.6866958483422998
2022_1345_1350,0.8449808902561466
2022_1345_1355,0.8842981694384073
2022_1345_1411,0.9838263152036083
2022_1345_1394,0.9884415963736992
2022_1345_1437,0.535037779367189
2022_1345_1397,0.3290735305169982
2022_1345_1371,0.7758357298678366
2022_1345_1395,0.7591117922237438
2022_1345_1412,0.7681669849996459
2022_1345_1460,0.9714492361258589
2022_1345_1403,0.4921842284885925
2022_1345_1353,0.8414902615953648
2022_1345_1436,0.8845680804742511
2022_1417_1439,0.7883822341234644
2022_1417_1461,0.870352838170444
2022_1417_1463,0.9744937990628287
2022_1417_1458,0.7916676104356329
2022_1417_1425,0.8158032275491413
2022_1417_1437,0.6009522106343852
2022_1417_1460,0.9780363570616777
2022_1417_1436,0.9093291814535778
2022_1388_1417,0.27764526952093616
2022_1388_1400,0.5068736579855646
2022_1388_1439,0.573947905509827
2022_1388_1461,0.7082412855190484
2022_1388_1463,0.9325019279191753
2022_1388_1389,0.8860905650943843
2022_1388_1458,0.5787837143707698
2022_1388_1425,0.6156072128453879
2022_1388_1411,0.9664272889669143
2022_1388_1394,0.9758858178558103
2022_1388_1437,0.3525634607281638
2022_1388_1397,0.18838326873734693
2022_1388_1395,0.5986023046141045
2022_1388_1412,0.6105960658431656
2022_1388_1460,0.9415267830717319
2022_1388_1403,0.3144412424686921
2022_1388_1436,0.7838503650904806
2022_1400_1417,0.2869985483033602
2022_1400_1439,0.5851964952913066
2022_1400_1461,0.7176882731043596
2022_1400_1463,0.9353503170777713
2022_1400_1458,0.589995834899473
2022_1400_1425,0.6264717283618579
2022_1400_1411,0.9678933348729679
2022_1400_1437,0.3631716888280123
2022_1400_1412,0.6215151371771972
2022_1400_1460,0.9440171913338853
2022_1400_1403,0.3244772885107314
2022_1400_1436,0.7915696540926531
2022_1293_1345,0.13238583360677553
2022_1293_1417,0.11727717673440641
2022_1293_1388,0.24561461333633222
2022_1293_1400,0.26215406564926624
2022_1293_1314,0.3200447985592868
2022_1293_1362,0.24954996814568528
2022_1293_1439,0.3177086432603531
2022_1293_1461,0.45625181928750175
2022_1293_1463,0.8268511619342057
2022_1293_1389,0.7289133640472086
2022_1293_1313,0.8990472673852203
2022_1293_1458,0.32201727282140885
2022_1293_1344,0.24954996814568528
